"activity","type","Control summary-Main-begin editing","Control summary-Main-finish editing","Control summary-Main-initialize","Control summary-Main-save","Control summary-Main-take original document","Department control parcels-Main-begin editing","Department control parcels-Main-insert document","Department control parcels-Main-performed","Department control parcels-Main-save","Entitlement application-Change-begin editing","Entitlement application-Change-calculate","Entitlement application-Change-decide","Entitlement application-Change-finish editing","Entitlement application-Change-initialize","Entitlement application-Change-insert document","Entitlement application-Change-remove document","Entitlement application-Change-revoke decision","Entitlement application-Change-revoke withdrawal","Entitlement application-Change-withdraw","Entitlement application-Main-begin editing","Entitlement application-Main-calculate","Entitlement application-Main-decide","Entitlement application-Main-finish editing","Entitlement application-Main-initialize","Entitlement application-Main-insert document","Entitlement application-Main-mail valid","Entitlement application-Main-revoke decision","Entitlement application-Main-save","Entitlement application-Objection-approve","Entitlement application-Objection-begin admissibility check","Entitlement application-Objection-begin editing","Entitlement application-Objection-calculate","Entitlement application-Objection-check admissibility","Entitlement application-Objection-decide","Entitlement application-Objection-finish editing","Entitlement application-Objection-initialize","Entitlement application-Objection-insert document","Geo parcel document-Declared-begin editing","Geo parcel document-Declared-calculate","Geo parcel document-Declared-create","Geo parcel document-Declared-finish editing","Geo parcel document-Declared-finish pre-check","Geo parcel document-Declared-restart editing","Geo parcel document-Main-calculate protocol","Geo parcel document-Main-clear","Geo parcel document-Main-initialize","Geo parcel document-Main-insert document","Geo parcel document-Main-save","Geo parcel document-Reported-begin editing","Geo parcel document-Reported-calculate","Geo parcel document-Reported-finish editing","Geo parcel document-Reported-insert document","Inspection-On-Site-begin editing","Inspection-On-Site-begin preparations","Inspection-On-Site-cancel offline","Inspection-On-Site-finish editing","Inspection-On-Site-finish preparations","Inspection-On-Site-initialize","Inspection-On-Site-performed","Inspection-On-Site-performed offline","Inspection-On-Site-plan","Inspection-On-Site-prepare offline","Inspection-On-Site-save","Inspection-Remote-abort external","Inspection-Remote-begin editing","Inspection-Remote-begin preparations","Inspection-Remote-finish editing","Inspection-Remote-finish preparations","Inspection-Remote-initialize","Inspection-Remote-performed","Inspection-Remote-plan","Inspection-Remote-prepare external","Inspection-Remote-save","Parcel document-Main-begin editing","Parcel document-Main-check","Parcel document-Main-discard","Parcel document-Main-finish editing","Parcel document-Main-initialize","Parcel document-Main-insert document","Parcel document-Main-save","Payment application-Application-abort payment","Payment application-Application-begin editing","Payment application-Application-begin payment","Payment application-Application-calculate","Payment application-Application-decide","Payment application-Application-finish editing","Payment application-Application-finish payment","Payment application-Application-initialize","Payment application-Application-insert document","Payment application-Application-mail income","Payment application-Application-mail valid","Payment application-Application-remove document","Payment application-Application-revoke decision","Payment application-Change-abort payment","Payment application-Change-begin editing","Payment application-Change-begin payment","Payment application-Change-calculate","Payment application-Change-decide","Payment application-Change-finish editing","Payment application-Change-finish payment","Payment application-Change-initialize","Payment application-Change-insert document","Payment application-Main-insert document","Payment application-Main-remove document","Payment application-Main-save","Payment application-Objection-abort payment","Payment application-Objection-approve","Payment application-Objection-begin admissibility check","Payment application-Objection-begin editing","Payment application-Objection-begin editing from refused","Payment application-Objection-begin payment","Payment application-Objection-calculate","Payment application-Objection-check admissibility","Payment application-Objection-decide","Payment application-Objection-finish editing","Payment application-Objection-finish payment","Payment application-Objection-initialize","Payment application-Objection-insert document","Payment application-Objection-refuse","Reference alignment-Main-initialize","Reference alignment-Main-insert document","Reference alignment-Main-performed","Reference alignment-Main-remove document","Reference alignment-Main-save"
"Inspection-Remote-plan","EFR_N","26","26","26","25","0","8","0","13","6","0","0","0","0","0","0","0","0","0","0","33","37","7","33","7","0","14","0","0","0","0","0","0","0","0","0","0","0","23","21","2","34","6","0","0","13","1","4","56","61","141","67","0","16","29","0","44","29","18","11","17","18","17","611","83","15","109","41","109","7","26","0","109","178","7","6","0","9","7","4","10","16","45","41","140","33","57","25","26","32","26","26","0","7","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","1","26","0","6"
"Inspection-Remote-plan","EFR_S","<","<","<",">","",">","",">",">","","","","","","","","","","",">",">",">",">",">","","<","","","","","","","","","","","","||",">","||","||","||","","","<","||",">",">",">",">","||","",">",">","",">",">","||",">",">","||",">","||",">",">",">",">",">","||",">","",">",">","<","||","","||","<",">","||",">",">",">",">",">",">",">",">",">","<","<","",">","","","","","","","","","",">","",">","","","","","","","","","","","","","","",">",">",">","",">"
"Inspection-Remote-prepare external","EFR_N","109","109","109","84","0","36","0","57","24","0","0","0","0","0","0","0","0","0","0","99","111","21","99","21","0","42","0","0","0","0","0","0","0","0","0","0","0","98","64","12","106","16","0","0","52","6","12","204","248","564","268","0","67","121","0","185","121","50","47","71","50","71","2496","189","66","216","175","208","109","109","109","189","320","21","15","0","24","21","12","30","59","211","164","642","148","270","105","109","140","109","109","0","39","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109","6","109","0","27"
"Inspection-Remote-prepare external","EFR_S","<","<","<",">","",">","",">",">","","","","","","","","","","",">",">",">",">",">","","<","","","","","","","","","","","","||","||","||","||","||","","","<","||","||","||",">",">","||","",">",">","",">",">","||",">",">","||",">","||","||",">","||",">","||","<",">","<","@","||","<","||","","||","<",">","||",">",">",">",">",">",">",">",">",">","<","<","",">","","","","","","","","","",">","",">","","","","","","","","","","","","","","",">",">",">","",">"
"Inspection-Remote-save","EFR_N","178","178","178","128","0","42","0","54","28","0","0","0","0","0","0","0","0","0","0","154","175","33","154","33","0","66","0","0","0","0","0","0","0","0","0","0","0","143","116","12","198","32","0","0","91","6","25","376","467","1080","508","0","124","199","0","318","199","90","71","123","90","123","4142","347","97","449","275","449","178","154","178","449","567","33","22","0","38","33","16","42","85","312","256","931","227","425","171","162","245","178","178","0","49","0","0","0","0","0","0","0","0","0","7","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","8","102","0","32"
"Inspection-Remote-save","EFR_S","<","<","<","||","","||","","||","||","","","","","","","","","","",">",">",">",">",">","","<","","","","","","","","","","","","||","||","||","||","||","","","<","||","||","||",">",">","||","","||","||","","||","||","||","||","||","||","||","||","||","||","||","||","||","<","||","<","||","@","<","||","","||","<","||","||",">","||",">","||",">","||",">","||",">","<","<","",">","","","","","","","","","",">","",">","","","","","","","","","","","","","","","||",">","||","","||"
"Parcel document-Main-begin editing","EFR_N","122","122","122","200","1","55","1","134","42","25","40","20","17","24","52","9","1","1","1","529","637","135","531","134","2","268","1","40","3","3","3","6","3","4","3","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","0","13","12","11","4","7","11","7","320","14","2","21","9","21","7","7","7","21","33","0","119","1","422","134","81","274","195","136","329","565","195","195","134","134","5","134","134","2","59","6","26","19","38","14","13","13","26","13","39","13","24","3","3","8","6","1","7","15","8","7","7","4","4","4","1","134","30","134","1","240"
"Parcel document-Main-begin editing","EFR_S","||","||","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<",">",">",">",">",">",">",">",">",">",">",">","","","","","","","","","","","","","","","",">",">","",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","",">",">",">","<","||","||",">",">",">",">",">",">",">",">",">","<","<",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">"
"Parcel document-Main-check","EFR_N","119","119","119","253","3","85","1","78","75","33","50","24","22","32","65","12","1","0","0","338","453","97","340","88","2","238","1","32","4","4","4","13","4","7","4","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","0","11","11","4","2","7","4","7","231","4","1","6","4","6","1","4","1","6","12","119","119","4","348","119","16","257","149","92","246","394","141","141","101","92","7","119","119","5","44","9","34","26","52","17","17","17","34","17","49","17","36","3","5","17","5","0","8","10","17","5","5","5","2","5","0","41","25","41","0","291"
"Parcel document-Main-check","EFR_S","<","<","<","||","<","||","||","||","||","||","||","||","||","||","||",">",">","","","||","||","||","||","||",">","<",">","||","||","||","||","||","||","||","||","||","||","","","","","","","","","","","","","","","","||","||","","||","||","||",">","||","||","||","||","||","<","||","||","||","||","||","||","||","||","<","@","<","||","<","||","||","||","||","||","||","||","||","||","||",">","<","<",">","||",">",">",">",">",">",">",">",">",">","||",">","||",">","||","||","||","","||","||","||","||","||","||","||","||","","||","||","||","","||"
"Parcel document-Main-discard","EFR_N","1","1","1","9","0","2","0","1","5","1","1","0","0","1","2","1","0","0","0","6","6","1","6","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","4","1","1","7","2","1","3","6","2","2","1","1","0","1","1","0","1","0","1","0","1","0","0","0","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","13"
"Parcel document-Main-discard","EFR_S","<","<","<",">","",">","",">",">",">",">","","",">",">",">","","","",">",">",">",">",">","","<","",">","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<",">","",">","<","<","||",">",">",">",">",">",">",">",">","","<","<","",">","",">","",">","","","",">","",">",">",">","","","","","","","","","","","","","","",">",">",">","",">"
"Parcel document-Main-finish editing","EFR_N","84","84","84","626","3","227","1","264","184","103","169","80","69","100","219","38","3","2","2","1273","1552","349","1289","304","7","844","6","151","21","21","21","62","21","38","23","14","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","26","0","28","26","18","8","17","18","16","672","26","4","39","19","39","12","15","12","39","64","422","160","4","709","422","91","629","500","324","849","1398","503","501","360","315","23","422","422","7","151","27","97","81","149","59","54","54","97","54","152","45","128","21","24","80","36","4","49","83","82","39","40","28","18","28","4","205","100","205","2","812"
"Parcel document-Main-finish editing","EFR_S","||","||","||","||","<","||","||","||","||","||","||","||","||","||","||",">",">",">",">","||","||","||","||","||",">","<","||","||","||","||","||","||","||","||","||","||","||","","","","","","","","","","","","","","","","||","||","","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","<","||","<","@","<","||","||","||","||","||","||","||","||","||","||",">","<","<",">","||",">","||","||","||","||","||","||","||","||","||",">","||","||","||","||","||",">","||","||","||","||","||","||","||","||",">","||","||","||","||","||"
"Parcel document-Main-initialize","EFR_N","125","125","125","200","1","55","1","134","42","25","40","20","17","24","52","9","1","1","1","529","637","135","531","134","2","268","1","40","3","3","3","6","3","4","3","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","0","13","12","11","4","7","11","7","320","14","2","21","9","21","7","7","7","21","33","134","119","1","422","0","82","275","195","136","329","565","195","195","134","134","5","134","134","2","59","6","26","19","38","14","13","13","26","13","39","13","24","3","3","8","6","1","7","15","8","7","7","4","4","4","1","134","30","134","1","240"
"Parcel document-Main-initialize","EFR_S","||","||","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<",">",">",">",">",">",">",">",">",">",">",">","","","","","","","","","","","","","","","",">",">","",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","",">",">",">",">",">",">",">",">",">",">",">","<","<",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">"
"Parcel document-Main-insert document","EFR_N","82","82","82","155","1","49","1","55","39","22","36","18","15","21","43","8","1","0","0","256","336","70","257","67","0","164","1","32","2","2","2","5","2","3","2","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","6","6","2","2","3","2","3","108","8","1","12","2","12","4","2","4","12","4","1","96","1","218","82","1","254","108","69","178","286","99","99","72","69","3","82","82","2","29","6","20","17","31","12","11","11","20","11","29","9","18","1","2","7","5","1","4","12","7","5","6","3","3","3","1","40","21","40","1","178"
"Parcel document-Main-insert document","EFR_S","<","<","<","||","<","||",">","||","||","||","||","||","||","||","||","||",">","","","||","||","||","||","||","","<",">","||",">",">",">",">",">",">",">",">",">","","","","","","","","","","","","","","","","||","||","","||","||","||",">","||","||","||","||","<","<","<","||","<","<","||","<","<","||","||","||",">","||","<","@","||","||","||","||","||","||","||","||","||",">","<","<",">","||",">","||","||","||","||","||","||","||","||","||","||","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">","||","||","||",">","||"
"Parcel document-Main-save","EFR_N","275","275","275","576","4","212","3","126","200","90","148","66","58","87","177","36","3","0","0","692","878","202","705","160","1","550","5","115","18","18","18","62","18","36","20","9","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","16","0","18","16","7","4","11","7","10","377","2","2","3","5","3","1","5","1","3","12","1","269","1","768","275","14","571","305","173","506","782","289","287","211","168","3","275","275","5","88","24","83","69","122","47","45","45","83","45","123","40","102","18","21","79","27","2","41","59","81","28","29","23","11","23","2","80","69","80","1","664"
"Parcel document-Main-save","EFR_S","<","<","<","||","<","||","||","||","||","||","||","||","||","||","||","||",">","","","||","||","||","||","||",">","<","||","||","||","||","||","||","||","||","||","||","||","","","","","","","","","","","","","","","","||","||","","||","||","||","||","||","||","||","||","||","<","||","||","||","||","||","||","||","||","||","||","||","||","<","||","@","||","||","||","||","||","||","||","||",">","<","<",">","||",">","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||",">","||","||","||","||","||","||","||","||",">","||","||","||","<","||"
"Payment application-Application-abort payment","EFR_N","304","304","304","97","2","41","2","285","37","39","62","30","25","37","76","16","2","1","1","768","927","199","770","198","2","396","1","30","5","5","5","11","5","7","5","5","9","210","9","149","11","3","10","2","4","109","1","21","14","137","128","0","10","26","0","34","26","24","9","15","24","15","830","43","6","59","22","59","16","16","16","59","85","195","35","2","112","195","18","116","62","614","366","1","1","1","304","304","109","304","304","1","1","6","53","26","81","23","20","20","53","21","76","27","39","4","5","14","8","1","10","19","14","9","9","6","6","6","1","304","37","304","1","176"
"Payment application-Application-abort payment","EFR_S","<","<","<","||","<","||","<","<","||",">",">",">",">",">",">",">",">",">",">","<","<","<","<","<","||","<","<","||",">",">",">",">",">",">",">",">",">","<","||","<","||","||","<",">","<","<","||","||","||","<","<","","<","<","","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","||","<","||","<","||","||","@","<","||","||","||","||",">","<","||","<","<","||","||",">",">",">",">",">",">",">",">",">",">",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<","||","<","<","||"
"Payment application-Application-begin editing","EFR_N","1074","1074","1074","154","10","99","1","14","78","27","43","20","17","26","54","10","1","1","2","401","500","144","448","140","6","280","1","35","3","3","3","6","3","4","3","3","5","78","104","1","175","24","29","2","160","938","32","254","633","710","617","4","20","17","6","41","17","9","13","6","9","4","293","166","7","211","13","211","45","6","45","211","18","136","27","1","104","136","13","104","614","1426","1687","4264","1680","3102","1073","1074","1361","1074","1074","2","597","6","95","31","125","28","25","25","95","26","127","47","63","3","3","8","6","1","7","15","8","7","7","4","4","4","1","1074","44","1074","1","246"
"Payment application-Application-begin editing","EFR_S","<","<","<","||","||","||","||","||","||",">",">",">",">",">",">",">",">",">",">","||","||","||","||","<",">","<",">","||",">",">",">",">",">",">",">",">",">","||","||","||","||","||","||",">","<","<","||","||","||","||","||","||","||","||","<","||","||","||","||","||","||","||","||","<","||","<","||","<","<","||","<","<","||","<","||","<","||","<","||","||",">","@",">","||","||","||",">","<",">","<","<",">","||",">",">",">",">",">",">",">",">",">","||",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<","||","<","<","||"
"Payment application-Application-begin payment","EFR_N","711","711","711","155","9","69","4","554","60","65","104","50","42","62","128","26","3","2","2","1305","1585","343","1309","336","4","672","2","51","8","8","8","17","8","11","8","8","14","791","18","551","27","6","21","4","60","382","4","46","31","1047","1011","8","28","66","3","91","66","63","23","40","63","43","1885","123","20","164","61","164","41","41","41","164","256","329","57","3","185","329","30","190","366","1687","366","1","1","1","711","711","518","711","711","1","1","12","99","49","148","43","37","37","99","39","140","49","71","7","8","22","14","2","17","34","22","16","16","10","10","10","2","711","62","711","2","294"
"Payment application-Application-begin payment","EFR_S","<","<","<","||","<","||","<","<","||","||","||",">",">","||","||",">",">",">","||","<","<","<","<","<","||","<","<","||",">",">",">",">",">",">",">",">",">","<","||","<","||","||","<",">","<","<","||","||","||","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","||","<","||","<","||","||","||","<","@","||","||","||",">","<","||","<","<","||","||",">",">",">",">",">",">",">",">",">","||",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<","||","<","<","||"
"Payment application-Application-calculate","EFR_N","2383","2383","2383","536","10","360","2","43","320","137","217","85","73","133","265","60","4","8","16","725","880","428","803","604","40","1208","5","142","12","12","12","21","12","15","12","12","22","250","409","2","596","105","93","22","223","1818","96","852","780","905","681","5","58","46","12","120","46","27","40","12","27","7","532","502","29","642","35","642","140","6","140","642","39","565","110","6","370","565","59","369","1787","2869","4166","7385","3821","6677","2379","2383","2383","2383","2383","10","1442","27","317","120","449","115","93","93","317","102","432","153","226","11","12","30","30","6","29","76","30","34","36","18","18","18","6","2383","187","2383","3","854"
"Payment application-Application-calculate","EFR_S","<","<","<","||","||","||","||","||","||","||","||",">",">","||","||",">",">",">","||","||","||","||","||","<","||","<","||","||",">",">",">",">",">",">",">",">",">","||","||","||","||","||","||",">","<","<","||","||","||","||","||","||","||","||","<","||","||","||","||","||","||","||","||","<","||","<","||","<","<","||","<","<","||","<","||","<","||","<","||","||","||","||","||","@","||","||",">","<","||","<","<","||","||",">",">",">",">",">",">",">",">",">","||",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<","||","<","<","||"
"Payment application-Application-decide","EFR_N","609","609","609","104","1","53","4","467","45","45","72","30","26","44","91","20","1","2","2","792","1","1","1","203","7","406","1","36","5","5","5","8","5","6","5","5","9","841","20","591","35","8","3","4","56","414","7","56","36","4","2","9","1","53","6","1","53","52","18","34","52","40","2","115","19","148","52","148","33","33","33","148","227","195","36","2","112","195","20","111","476","3","1084","205","207","203","608","609","570","609","609","4","201","9","85","38","119","35","29","29","85","31","118","42","62","5","5","11","11","2","12","28","11","13","13","7","7","7","2","609","48","609","1","191"
"Payment application-Application-decide","EFR_S","<","<","<","||","||","||","<","<","||","||","||",">",">","||","||",">",">",">","||","<","||","||","||","<","||","<","||","||",">",">",">",">",">",">",">",">",">","<","||","<","||","||","||",">","<","<","||","||","||","||","||","<","||","<","<","||","<","<","<","<","<","<","||","<","<","<","<","<","<","<","<","<","<","<","||","<","||","<","||","||","||","||","||","||","@","||",">","<","||","<","<","||","||",">",">",">",">",">",">",">",">",">","||",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<","||","<","<","||"
"Payment application-Application-finish editing","EFR_N","1277","1277","1277","141","8","77","4","852","64","45","72","30","26","44","91","20","1","2","2","792","1","1","1","203","7","406","1","36","5","5","5","8","5","6","5","5","9","2","39","1506","82","24","27","4","160","1082","17","133","602","562","550","3","10","4","9","15","4","4","4","65","4","74","29","213","4","270","4","270","57","57","57","270","4","195","36","2","114","195","20","113","782","1434","2058","2102","1888","2049","1276","1277","1521","1277","1277","4","619","9","134","46","177","43","37","37","134","39","180","67","88","5","5","11","11","2","12","28","11","13","13","7","7","7","2","1277","63","1277","1","256"
"Payment application-Application-finish editing","EFR_S","<","<","<","||","||","||","<","<","||","||","||",">",">","||","||",">",">",">","||","<","||","||","||","<","||","<","||","||",">",">",">",">",">",">",">",">",">","||","||","<","||","||","||",">","<","<","||","||","||","||","||","||","||","||","<","||","||","||","||","<","||","<","||","<","||","<","||","<","<","<","<","<","||","<","||","<","||","<","||","||","||","||","||","||","||","@",">","<","||","<","<","||","||",">",">",">",">",">",">",">",">",">","||",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<","||","<","<","||"
"Payment application-Application-finish payment","EFR_N","407","407","407","52","7","27","2","269","22","26","42","20","17","25","52","10","1","1","1","537","658","144","539","138","6","276","1","20","3","3","3","6","3","4","3","3","5","581","9","402","16","3","11","2","56","273","3","25","17","910","883","8","18","40","3","57","40","39","14","25","39","28","1055","80","14","105","39","105","25","25","25","105","171","134","18","1","62","134","10","64","304","1073","711","2379","608","1276","0","407","417","407","407","2","198","6","46","23","67","20","17","17","46","18","64","22","32","3","3","8","6","1","7","15","8","7","7","4","4","4","1","407","25","407","1","111"
"Payment application-Application-finish payment","EFR_S","<","<","<","||","<","||","<","<","||","||","||",">",">","||","||",">",">",">","||","<","<","<","<","<","<","<","<","||",">",">",">",">",">",">",">",">",">","<","||","<","||","||","<",">","<","<","||","||","||","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","||","<","||","<","||","||","<","<","<","<","<","<","","<","<","<","<","<","<",">",">",">",">",">",">",">",">",">","||",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<","||","<","<","||"
"Payment application-Application-initialize","EFR_N","408","408","408","128","6","78","1","14","62","27","43","20","17","26","54","10","1","1","2","403","510","144","452","1","6","276","1","41","3","3","3","6","3","4","3","3","5","94","100","1","154","14","11","2","56","274","27","235","762","913","806","8","16","19","3","38","19","6","11","9","6","8","377","83","5","109","11","109","26","6","26","109","16","134","27","1","107","134","13","107","304","1074","711","2383","609","1277","407","0","419","408","408","2","198","6","46","23","67","20","17","17","46","18","66","22","38","3","3","8","6","1","7","15","8","7","7","4","4","4","1","408","31","408","1","190"
"Payment application-Application-initialize","EFR_S","<","<","<","||","||","||","||","||","||",">",">",">",">",">",">",">",">",">",">","||","||",">","||","||",">","<",">","||",">",">",">",">",">",">",">",">",">","||","||","||","||","||",">",">","<","<","||","||",">","||","||",">","||","||","<","||","||","||","||","||","||","||","||","<","||","<","||","<","<","||","<","<","||","<","||","<","||","<","||","||",">",">",">",">",">",">",">","",">","<","<",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<","||","<","<","||"
"Payment application-Application-insert document","EFR_N","419","419","419","52","12","7","1","141","4","1","2","0","0","1","1","1","0","0","1","24","43","14","24","9","1","18","0","6","0","0","0","0","0","0","0","0","0","916","9","628","18","3","11","2","112","414","4","27","19","1832","1780","16","30","48","6","78","48","48","19","29","48","35","1092","108","22","140","54","140","32","32","32","140","245","5","7","0","23","5","3","3","22","1361","30","1","1","1","417","419","144","419","419","1","150","0","20","4","29","6","4","4","20","5","26","9","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","419","10","419","0","33"
"Payment application-Application-insert document","EFR_S","<","<","<","<","<","||","<","<","||","||","||","","","||","||",">","","","<","<","<","<","<","<","||","<","","<","","","","","","","","","","<","||","<","||","||","<",">","<","<","||","||","||","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","","<","<","<","<","||","<","||","||","||","||",">","<","@","<","<","||","<","",">",">",">",">",">",">",">",">","||",">","||","","","","","","","","","","","","","","","<","||","<","","||"
"Payment application-Application-mail income","EFR_N","402","402","402","243","7","98","2","269","71","27","43","20","17","26","54","10","1","1","2","537","658","144","539","138","6","254","1","46","3","3","3","6","3","4","3","3","5","563","268","391","594","229","11","2","52","268","48","451","762","916","887","8","18","41","3","58","41","40","15","25","40","28","1059","83","15","109","41","109","26","26","26","109","178","134","119","1","422","134","82","275","304","1074","711","2383","609","1277","407","408","419","0","360","2","198","6","46","23","67","20","17","17","46","18","66","22","38","3","3","8","6","1","7","15","8","7","7","4","4","4","1","407","46","407","1","328"
"Payment application-Application-mail income","EFR_S","||","||","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","||",">",">",">",">",">",">",">",">",">",">",">","||","||","||","||","||",">",">","||","||","||","||",">",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","||",">","||",">",">"
"Payment application-Application-mail valid","EFR_N","408","408","408","243","7","98","2","269","71","27","43","20","17","26","54","10","1","1","2","537","658","144","539","138","6","159","1","46","3","3","3","6","3","4","3","3","5","582","270","403","605","239","11","2","56","274","49","453","762","916","890","8","18","41","3","58","41","40","15","25","40","28","1059","83","15","109","41","109","26","26","26","109","178","134","119","1","422","134","82","275","304","1074","711","2383","609","1277","407","408","419","48","0","2","198","6","46","23","67","20","17","17","46","18","66","22","38","3","3","8","6","1","7","15","8","7","7","4","4","4","1","408","46","408","1","328"
"Payment application-Application-mail valid","EFR_S",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","||","",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">"
"Payment application-Application-remove document","EFR_N","2","2","2","6","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","7","8","2","7","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","7","2","2","5","2","2","4","1","1","1","2","2","2","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","3"
"Payment application-Application-remove document","EFR_S","<","<","<","<","","<","","<","<","","","","","","","","","","","<","<","<","<","<","","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","<","","<","<","<","<","||","<","||","||","||","||",">","<","||","<","<","","||","","","","","","","","","","","",">","","","","","","","","","","","","","","","<","","<","","||"
"Payment application-Application-revoke decision","EFR_N","198","198","198","37","0","23","2","196","20","19","30","10","9","19","39","10","0","1","1","247","303","69","249","63","4","126","1","15","2","2","2","2","2","2","2","2","4","257","9","187","17","3","1","2","0","139","4","27","17","18","16","0","3","12","3","15","12","12","3","9","12","12","434","32","4","39","11","39","7","7","7","39","49","59","14","1","36","59","8","35","169","3","367","187","203","185","198","198","150","198","198","2","4","3","39","15","52","15","12","12","39","13","54","20","29","2","2","3","5","1","5","13","3","6","6","3","3","3","1","198","23","198","0","69"
"Payment application-Application-revoke decision","EFR_S","<","<","<","||","","||","<","<","||","||","||",">",">","||","||",">","",">","||","<","<","<","<","<","||","<","<","||",">",">",">",">",">",">",">",">",">","<","||","<","||","||","||",">","","<","||","||","||","<","<","","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","||","<","||","<","||","||","||","||","||","||","||","||",">","<",">","<","<","||","@",">",">",">",">",">",">",">",">",">","||",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<","||","<","","||"
"Payment application-Change-abort payment","EFR_N","6","6","6","12","0","3","0","6","3","6","12","6","6","6","12","0","0","0","0","27","27","6","27","6","0","12","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","9","0","27","6","6","24","6","6","12","27","9","9","6","6","0","6","6","0","3","6","6","12","12","6","6","6","6","6","6","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","6","0","18"
